rule,rule_time
go.lang.security.filepath-clean-misuse.filepath-clean-misuse,0.0
go.lang.security.injection.raw-html-format.raw-html-format,0.0
go.lang.security.injection.tainted-sql-string.tainted-sql-string,0.0
go.lang.security.injection.tainted-url-host.tainted-url-host,0.0
go.lang.security.zip.path-traversal-inside-zip-extraction,0.0
go.net.active-debug-code.write-pprof-profile-output.write-pprof-profile-output,0.0
go.net.command-injection.net-http-command-injection-taint.net-http-command-injection-taint,0.0
go.net.csrf.gorilla-csrf.go-net-http-form-without-gorilla-csrf-protection.go-net-http-form-without-gorilla-csrf-protection,0.0
go.net.csrf.gorilla-csrf.go-net-http-handlefunc-without-gorilla-csrf-protection.go-net-http-handlefunc-without-gorilla-csrf-protection,0.0
go.net.csrf.gorilla-csrf.go-net-http-route-without-gorilla-csrf-protection.go-net-http-route-without-gorilla-csrf-protection,0.0
go.net.nosql.net-mongo-nosqli-taint.net-mongo-nosqli-taint,0.0
go.net.path-traversal.net-http-path-traversal-taint-mux.net-http-path-traversal-taint-mux,0.0
go.net.path-traversal.net-http-path-traversal-taint.net-http-path-traversal-taint,0.0
go.net.sql.go-vanillasql-format-string-sqli-taint-med-conf.go-vanillasql-format-string-sqli-taint-med-conf,0.0
go.net.sql.go-vanillasql-format-string-sqli-taint.go-vanillasql-format-string-sqli-taint,0.0
go.net.sql.pg-orm-sqli-taint.pg-orm-sqli-taint,0.0
go.net.sql.pg-sqli-taint-med-conf.pg-sqli-taint-med-conf,0.0
go.net.sql.pg-sqli-taint.pg-sqli-taint,0.0
go.net.sql.pgx-sqli-taint-med-conf.pgx-sqli-taint-med-conf,0.0
go.net.sql.pgx-sqli-taint.pgx-sqli-taint,0.0
go.net.ssrf.http-ssrf-taint.http-ssrf-taint,0.0
go.net.xss.formatted-template-string-taint.formatted-template-string-taint,0.0
go.net.xss.no-direct-write-to-responsewriter-taint.no-direct-write-to-responsewriter-taint,0.0
go.net.xxe.libxml2-xxe-taint.libxml2-xxe-taint,0.0
go.otto.security.audit.dangerous-execution.dangerous-execution,0.0
go.secrets.gorilla.gorilla-cookie-store-hardcoded-session-key.gorilla-cookie-store-hardcoded-session-key,0.0
go.secrets.gorilla.gorilla-csrf-hardcoded-auth-key.gorilla-csrf-hardcoded-auth-key,0.0
go.secrets.gorm.gorm-empty-password.gorm-empty-password,0.0
go.secrets.gorm.gorm-hardcoded-secret.gorm-hardcoded-secret,0.0
go.secrets.mongodb.mongo-empty-password.mongo-empty-password,0.0
go.secrets.mongodb.mongo-hardcoded-secret.mongo-hardcoded-secret,0.0
go.secrets.mysql.mysql-empty-password.mysql-empty-password,0.0
go.secrets.mysql.mysql-hardcoded-secret.mysql-hardcoded-secret,0.0
go.secrets.oauth2.oauth2-empty-key.oauth2-empty-key,0.0
go.secrets.oauth2.oauth2-hardcoded-secret.oauth2-hardcoded-secret,0.0
go.secrets.openai.openai-empty-secret.openai-empty-secret,0.0
go.secrets.openai.openai-hardcoded-secret.openai-hardcoded-secret,0.0
go.secrets.pg.pg-empty-password.pg-empty-password,0.0
go.secrets.pg.pg-hardcoded-secret.pg-hardcoded-secret,0.0
go.secrets.pgx.pgx-empty-password.pgx-empty-password,0.0
go.secrets.pgx.pgx-hardcoded-secret.pgx-hardcoded-secret,0.0
go.secrets.ssh.ssh-empty-password.ssh-empty-password,0.0
go.secrets.ssh.ssh-harcoded-secret.ssh-hardcoded-secret,0.0
go.template.security.insecure-types.go-insecure-templates,0.0
go.template.security.ssti.go-ssti,0.0
html.security.audit.missing-integrity.missing-integrity,0.0
html.security.plaintext-http-link.plaintext-http-link,0.0
java.android.security.exported_activity.exported_activity,0.0
java.aws-lambda.security.tainted-sql-string.tainted-sql-string,0.0
java.aws-lambda.security.tainted-sqli.tainted-sqli,0.0
java.java-jwt.security.audit.jwt-decode-without-verify.java-jwt-decode-without-verify,0.0
java.java-jwt.security.jwt-hardcode.java-jwt-hardcoded-secret,0.0
java.java-jwt.security.jwt-none-alg.java-jwt-none-alg,0.0
java.jax-rs.security.jax-rs-path-traversal.jax-rs-path-traversal,0.0
java.jboss.security.seam-log-injection.seam-log-injection,0.0
java.jboss.security.session_sqli.find-sql-string-concatenation,0.0
